index,V_cs(m/min),f_r(mm/rev),d_c(mm),PF,STEC(J/mm3),R_a(mu_m)
1,103.31,0.12,0.50,0.83,27.10,1.939
2,103.31,0.12,1.00,0.85,14.37,1.505
3,103.31,0.12,1.50,0.84,9.81,1.732
4,103.31,0.16,0.50,0.77,17.28,3.444
5,103.31,0.16,1.00,0.82,10.45,2.642
6,103.31,0.16,1.50,0.83,7.40,2.762
7,103.31,0.20,0.50,0.82,15.16,4.051
8,103.31,0.20,1.00,0.81,7.26,4.085
9,103.31,0.20,1.50,0.86,6.19,4.036
10,134.30,0.12,0.50,0.86,20.40,1.316
11,134.30,0.12,1.00,0.87,12.06,1.272
12,134.30,0.12,1.50,0.88,7.74,1.528
13,134.30,0.16,0.50,0.81,15.41,2.672
14,134.30,0.16,1.00,0.84,8.60,2.613
15,134.30,0.16,1.50,0.84,5.77,2.183
16,134.30,0.20,0.50,0.78,10.19,3.674
17,134.30,0.20,1.00,0.86,7.53,3.321
18,134.30,0.20,1.50,0.87,5.29,3.441
19,174.14,0.12,0.50,0.87,18.72,1.607
20,174.14,0.12,1.00,0.89,10.62,1.468
21,174.14,0.12,1.50,0.90,7.47,1.577
22,174.14,0.16,0.50,0.88,14.56,2.067
23,174.14,0.16,1.00,0.90,8.57,2.232
24,174.14,0.16,1.50,0.91,6.33,3.329
25,174.14,0.20,0.50,0.88,12.20,3.437
26,174.14,0.20,1.00,0.90,6.89,3.390
27,174.14,0.20,1.50,0.90,5.10,3.544
